cbg_id,cbg_geocode
1,450830214023
2,450830213021
3,450830229001
4,450830221012
5,450830224041
6,450830214022
7,450830236005
8,450830239001
9,450830211004
10,450830235003
11,450830238013
12,450830215002
13,450830222011
14,450830219023
15,450830217002
16,450830220071
17,450830224042
18,450830218033
19,450830213023
20,450830228011
21,450830209001
22,450830224032
23,450830234033
24,450830231011
25,450830234021
26,450830227001
27,450830224051
28,450830213012
29,450830231014
30,450830221011
31,450830219013
32,450830220031
33,450830224013
34,450830239002
35,450830208001
36,450830207022
37,450830222021
38,450830212001
39,450830231021
40,450830211001
41,450830223042
42,450830211003
43,450830220072
44,450830232011
45,450830236003
46,450830213033
47,450830224034
48,450830230022
49,450830231022
50,450830231012
51,450830207021
52,450830207011
53,450830210013
54,450830226001
55,450830238022
56,450830234022
57,450830219022
58,450830206031
59,450830210012
60,450830231023
61,450830223021
62,450830236002
63,450830214011
64,450830223022
65,450830232024
66,450830213035
67,450830216001
68,450830213032
69,450830234042
70,450830212003
71,450830224043
72,450830216002
73,450830207013
74,450830203011
75,450830224062
76,450830224061
77,450830228012
78,450830230012
79,450830230014
80,450830229002
81,450830236001
82,450830220042
83,450830220041
84,450830223024
85,450830222023
86,450830230021
87,450830218041
88,450830236004
89,450830220063
90,450830223032
91,450830217001
92,450830230011
93,450830205001
94,450830227002
95,450830224033
96,450830206012
97,450830220043
98,450830206021
99,450830239003
100,450830226002
101,450830213022
102,450830214012
103,450830238023
104,450830219012
105,450830222024
106,450830221022
107,450830218022
108,450830215003
109,450830224012
110,450830223043
111,450830218021
112,450830235002
113,450830231013
114,450830220032
115,450830210011
116,450830222012
117,450830224014
118,450830207012
119,450830219021
120,450830233011
121,450830237001
122,450830233022
123,450830205002
124,450830224052
125,450830212002
126,450830227004
127,450830228021
128,450830226003
129,450830204001
130,450830228013
131,450830220062
132,450830220051
133,450830232023
134,450830234032
135,450830227003
136,450830215001
137,450830234031
138,450830213011
139,450830206032
140,450830234051
141,450830213031
142,450830219011
143,450830220033
144,450830232022
145,450830232012
146,450830233023
147,450830238011
148,450830223031
149,450830220061
150,450830214032
151,450830225003
152,450830225001
153,450830235001
154,450830234011
155,450830213034
156,450830218023
157,450830220052
158,450830238012
159,450830223023
160,450830238021
161,450830218031
162,450830224063
163,450830222022
164,450830224011
165,450830228022
166,450830204002
167,450830233021
168,450830214021
169,450830221021
170,450830214031
171,450830234053
172,450830229003
173,450830232021
174,450830228023
175,450830218024
176,450830203012
177,450830234041
178,450830230013
179,450830225002
180,450830223041
181,450830222013
182,450830203013
183,450830211002
184,450830217003
185,450830228014
186,450830231024
187,450830218032
188,450830214033
189,450830206011
190,450830206033
191,450830224031
192,450830219024
193,450830218042
194,450830237002
195,450830234052
