sch_code,p_id,hh_id,cbg_id
450348000060,5,28,54
450348000060,4,30,54
450348000060,3,46,54
450348000060,2,48,54
450348000060,2,49,54
450348000060,2,69,54
450348000060,5,71,54
450348000060,3,95,54
450348000060,2,95,54
450348000060,3,96,54
450348000060,3,108,54
450348000060,3,118,54
450348000060,2,121,54
450348000060,4,141,54
450348000060,3,157,54
450348000060,5,158,54
450348000060,2,162,54
450348000060,3,165,54
450348000060,3,169,54
450348000060,3,178,54
450348000060,6,180,54
450348000060,3,190,54
450348000060,2,214,54
450348000060,2,222,54
450348000060,5,237,54
450348000060,6,237,54
450348000060,4,260,54
450348000060,5,262,54
450348000060,4,264,54
450348000060,2,265,54
450348000060,4,295,54
450348000060,5,298,54
450348000060,4,298,54
450348000060,2,302,54
450348000060,3,304,54
450348000060,3,307,54
450348000060,3,317,54
450348000060,3,339,54
450348000060,3,350,54
450348000060,3,372,54
450348000060,4,374,54
450348000060,2,377,54
450348000060,3,383,54
450348000060,4,383,54
450348000060,4,410,54
450348000060,2,415,54
450348000060,3,420,54
450348000060,3,2,100
450348000060,4,2,100
450348000060,3,15,100
450348000060,4,29,100
450348000060,3,52,100
450348000060,5,53,100
450348000060,3,59,100
450348000060,3,80,100
450348000060,4,80,100
450348000060,4,111,100
450348000060,4,114,100
450348000060,3,116,100
450348000060,3,119,100
450348000060,3,125,100
450348000060,2,130,100
450348000060,2,138,100
450348000060,3,143,100
450348000060,4,212,100
450348000060,4,247,100
450348000060,3,264,100
450348000060,2,279,100
450348000060,2,297,100
450348000060,3,305,100
450348000060,3,306,100
450348000060,4,306,100
450348000060,3,341,100
450348000060,5,346,100
450348000060,3,355,100
450348000060,3,376,100
450348000060,3,408,100
450348000060,5,426,100
450348000060,3,3,128
450348000060,4,5,128
450348000060,3,9,128
450348000060,3,11,128
450348000060,2,45,128
450348000060,3,82,128
450348000060,2,96,128
450348000060,3,100,128
450348000060,3,108,128
450348000060,2,166,128
450348000060,2,178,128
450348000060,4,179,128
450348000060,3,190,128
450348000060,4,192,128
450348000060,3,199,128
450348000060,3,206,128
450348000060,3,207,128
450348000060,3,208,128
